id,video_id,country,fetched_at,title,channel_title,channel_id,category_id,published_at,description,tags,thumbnail,view_count,like_count,comment_count,duration,definition,duration_seconds,duration_minutes,is_short,publish_hour,publish_day,publish_month,is_weekend,hours_to_trend,like_view_ratio,comment_view_ratio,views_per_hour,engagement_score,title_length,title_word_count,title_has_number,title_has_caps,title_exclamation,title_question,tag_count,title_sentiment,description_sentiment,sentiment_label,category_name,is_hd,is_trending_high
451,b4iVv91Z6lY,AU,2026-03-22 11:07:36,BTS (방탄소년단) ‘SWIM’ Official MV,HYBE LABELS,UC3IZKseVpdzPSBaWxBxundA,10,2026-03-20 03:58:06+00:00,"BTS 5th Album 'ARIRANG'
🎧 https://bts.lnk.to/ARIRANG


Credits:
Directed by Tanu Muiño
 
Starring: Lili Reinhart
 
An UnderWonder Content Production

Produced by Jason Baum
Executive Producers: Frank Borin & Ivanna Borin
Director of Photography: Nikita Kuzmenko
Production Designer: Helen Gadjilova
E",HYBE|HYBE LABELS|하이브|하이브레이블즈,https://i.ytimg.com/vi/b4iVv91Z6lY/hqdefault.jpg,48146703,5259469,829653,PT4M5S,hd,245.0,4.08,0,3,Friday,3,0,55.16,0.109238,0.017232,872855.38,0.12647,30,5,0,0,0,0,4,0.0,0.0,neutral,Music,1,1
455,3_9vCamtuPY,AU,2026-03-22 11:07:36,Dune: Part Three | Official Teaser Trailer,Warner Bros.,UCjmJDM5pRKbUlVIzDYYWb6g,1,2026-03-17 16:19:02+00:00,"Experience the epic conclusion. Dune: Part Three only in theaters December 18 #DuneMovie #FilmedforIMAX

Directed by Denis Villeneuve and written by Villeneuve and Brian K. Vaughan, Dune: Part Three is based on the novel Dune Messiah by Frank Herbert and delivers the epic conclusion to Villeneuve’s ",Action|Anya Taylor-Joy|Brian K Vaughan|Charlotte Rampling|Coming Soon|Denis Villeneuve|Dune|Dune Messiah|Dune: Part Three|Florence Pugh|Ida Brooke|Isaach De Bankolé|Jason Momoa|Javier Bardem|Messiah|Nakoa-Wolf Momoa|Rebecca Ferguson|Robert Pattinson|Sci Fi|Timothée Chalamet|Trilogy|Warner Bros|Zendaya,https://i.ytimg.com/vi/3_9vCamtuPY/hqdefault.jpg,20732284,563607,27104,PT2M30S,hd,150.0,2.5,0,16,Tuesday,3,0,114.81,0.027185,0.001307,180579.08,0.028492,42,7,0,0,0,0,23,0.0,0.0667,neutral,Film & Animation,1,1
452,aBlsrtxuwss,AU,2026-03-22 11:07:36,Spider-Man: Brand New Day - Official Trailer,PlayStation,UC-2Y8dQb0S6DtpxNgAKoJKA,20,2026-03-18 11:17:52+00:00,"A Brand New Day starts now.
Watch the official trailer for #SpiderManBrandNewDay, exclusively in theatres July 31. Play Marvel’s Spider-Man 2, available now in the PlayStation Plus Game Catalog.",PlayStation|PS5|video games|next gen|Sony,https://i.ytimg.com/vi/aBlsrtxuwss/hqdefault.jpg,14087183,599065,25372,PT2M38S,hd,158.0,2.63,0,11,Wednesday,3,0,95.83,0.042526,0.001801,147001.81,0.044327,44,7,0,0,0,0,5,0.1364,0.0455,positive,Gaming,1,1
454,RBaSiVjtKR4,AU,2026-03-22 11:07:36,Body to Body,BTS - Topic,UC9vrvNSL3xcWGSkV86REBSg,10,2026-03-20 04:00:34+00:00,"Provided to YouTube by BIGHIT MUSIC

Body to Body · BTS

ARIRANG

℗ BIGHIT MUSIC

Released on: 2026-03-20

Auto-generated by YouTube.",BTS|방탄소년단|ARIRANG|Body to Body,https://i.ytimg.com/vi/RBaSiVjtKR4/hqdefault.jpg,10390814,942134,46610,PT3M10S,hd,190.0,3.17,0,4,Friday,3,0,55.12,0.09067,0.004486,188512.59,0.095156,12,3,0,0,0,0,4,0.0,0.0,neutral,Music,1,1
500,esb1CBW2WK8,AU,2026-03-22 11:07:36,White Fox: The Kumiho Strikes Back | Character Reveal Trailer | Marvel Rivals,Marvel Rivals,UCWzmOSSiSPbVnVu3ZAyDx2w,20,2026-03-17 17:01:04+00:00,"From the shadows comes the fox. 

As chaos spreads across New York, White Fox appears to establish order. A legendary nine-tailed fox and Director of Tiger Division, Ami Han brings sharp instincts, supernatural power, and unshakable resolve to the fight.  When Fisk crosses the line, the Kumiho strik",Marvel Rivals|Marvel games|Marvel|White Fox,https://i.ytimg.com/vi/esb1CBW2WK8/hqdefault.jpg,5029050,49007,3295,PT1M19S,hd,79.0,1.32,0,17,Tuesday,3,0,114.11,0.009745,0.000655,44071.95,0.0104,77,13,0,0,0,0,4,0.0,0.2356,neutral,Gaming,1,1
475,aRNfSqsgrgE,AU,2026-03-22 11:07:36,Sheesha (Official Music Video) | Mitta Ror ft. Swara Verma | Sorab Bedi | Niharika Tiwari,Sony Music India,UC56gTxNs4f9xZ7Pa2i5xNzg,10,2026-03-19 04:30:07+00:00,"The internet has spoken and we have listened. The real “owners of the song” have all assembled together! Watch Sorab Bedi and Niharika Tiwari join Mitta Ror for the Official Music Video of the viral hit song Sheesha.

Audio Credits:
Performed by Mitta Ror, Swara Verma
Written and Composed by Mitta R",sony music india|sheesha|sheesha video|sheesha song|mitta ror|mitta ror sheesha|sorab bedi|sorab bedi song|niharika tiwari|sorab bedi splitsvilla|sorab bedi niharika tiwari|sorab bedi splitsvilla 16|splitsvilla 16|mtv splitsvilla|sheesha mitta ror|sheesha swara verma|sheesha lyrics|sheesha song lyrics|sheesha new song|sheesha song video|aakhya mai aakh ghali jo bairan|new haryanvi song|haryanvi song|aakhya mai aakh|haryanvi songs|sorika|shesha,https://i.ytimg.com/vi/aRNfSqsgrgE/hqdefault.jpg,5018807,273693,7363,PT3M15S,hd,195.0,3.25,0,4,Thursday,3,0,78.62,0.054533,0.001467,63836.26,0.056001,89,16,0,0,0,0,27,0.0,0.25,neutral,Music,1,1
493,9wTEmuv6SvU,AU,2026-03-22 11:07:36,Diljit Dosanjh : Ranjha (Official Music Video) ft. SIA : David Guetta,Diljit Dosanjh,UCZRdNleCgW-BGUJf-bbjzQg,10,2026-03-17 03:30:06+00:00,"Song - Ranjha 
Vocals - Diljit Dosanjh, Sia
Composers & Lyricist - Raj Ranjodh, Diljit Dosanjh, Johnny Goldstein, SIA, David Guetta, Bebe Rexha, Jake Torrey
Produced - Johny Goldstein, David Guetta
Programming, Bass & Keyboards - Johnny Goldstein
Mix & Master - Anders Hvenare
A&R - Aton Ben-Horin, J",,https://i.ytimg.com/vi/9wTEmuv6SvU/hqdefault.jpg,3521162,54654,1627,PT3M1S,hd,181.0,3.02,0,3,Tuesday,3,0,127.62,0.015522,0.000462,27590.99,0.015984,69,12,0,0,0,0,0,0.0,-0.15,neutral,Music,1,1
464,x-20Aj41WFY,AU,2026-03-22 11:07:36,Carry On Jatta 4 (Teaser) - Gippy Grewal - Binnu Dhillon - Sargun Mehta - Late Jaswinder Bhalla Ji,Humble Music,UCz2si8w1MqVtl1moygyGqpQ,10,2026-03-19 05:30:08+00:00,"A legend may be gone, but his laughter lives on , Late Jaswinder Bhalla Ji returns to our hearts in Carry On Jatta 4

Humble Motion Pictures FZCO presents 
🎬 Carry On Jatta 4 

The madness continues bigger and crazier than ever Get ready for a laughter-packed Punjabi blockbuster full of twists and c",gippy grewal|Sargun mehta|Carry on jatta 4|Carry on jatta 4 teaser|Jaswinder bhalla|Carry on jatta|New movie trailer|New trailer|Punjabi movie trailer|Binnu dhillon|Gurpreet ghuggi|New punjabi movie|Jaswinder bhalla movie|Carry on jatta 4 teaser Jaswinder Bhalla|Punjabi movie|Carry on jatta movie|Carry on jatta film,https://i.ytimg.com/vi/x-20Aj41WFY/hqdefault.jpg,3298306,22335,4780,PT2M44S,hd,164.0,2.73,0,5,Thursday,3,0,77.62,0.006772,0.001449,42492.99,0.008221,98,19,1,0,0,0,17,-0.3,0.01,negative,Music,1,1
472,l8sSQAa1kNM,AU,2026-03-22 11:07:36,"Hyunjin ""LOVER"" Video",Stray Kids,UC9rMiEjNaCSsebs31MRDCRA,10,2026-03-19 15:00:08+00:00,"현진(Hyunjin) ""LOVER"" Video

[Credits]
Lyrics by : 현진
Composed by : 현진, joha
Arranged by : joha
Original Publisher : JYP Entertainment, Copyright Control

[Hyunjin ""LOVER"" Lyrics]
Yeah yeah yeah yeah
I’m running in the rain yeah
망가진 내 맘 씻겨 내리길
한 때 사랑하긴 했던 거지? Right, right?

Lover lover lover is hurt ’",JYP Entertainment|JYP|Stray Kids|스트레이 키즈|SKZ|스키즈|방찬|BANG CHAN|리노|LEE KNOW|창빈|CHANGBIN|현진|황현진|HYUNJIN|한|한지성|HAN|필릭스|FELIX|용복|승민|김승민|SEUNGMIN|아이엔|I.N|현진 러버|러버|LOVER|Hyunjin LOVER|현진 LOVER|스트레이 키즈 현진 러버|스키즈 현진 러버|SKZ Hyunjin LOVER|Stray Kids Hyunjin LOVER|황현진 러버|황현진 LOVER|현진 작사|현진 작곡|스키즈 현진 작사|스키즈 현진 작곡|Hyunjin vocal|현진 보컬|현진 노래|스키즈 자작곡|스트레이키즈 자작곡|황현진 작사|황현진 작곡|황현진 보컬|현진 자작곡|스키즈 현진 자작곡|스트레이 키즈 현진 자작곡|Hyunjin song,https://i.ytimg.com/vi/l8sSQAa1kNM/hqdefault.jpg,3192036,611989,48544,PT3M8S,hd,188.0,3.13,0,15,Thursday,3,0,68.12,0.191724,0.015208,46859.01,0.206932,21,3,0,0,0,0,53,0.0,0.3155,neutral,Music,1,1
490,giA1Y3VB3CM,AU,2026-03-22 11:07:36,KALYANI - ARJN x KDS x FIFTY4 x RONN | What We Cookin?,What We Cookin?,UCdSW3-YVQEpaX0TVi3b-kyQ,10,2026-03-12 10:29:41+00:00,"ചിരിക്കല്ലെ പെണ്ണെ കല്ല്യാണി
നിന്റെ മാറത്തെ പുള്ളിയിൽ എന്നെ നീ കുടുക്കി 🌼

An ode to everyone who helped make this song even more beautiful, thank you! We have the official music video for Kalyani coming soon. Stay tuned!!

Music by: ARJN, KDS, FIFTY4
Written by: Suhas Moideen & FIFTY4
Producer: RON",arjn|kalyani|kds|ronn|sheriya arjn|arjn new song|kalyani trending song|instagram trending viral songs|love songs|moneyverse records|Chirikalle ni kalyani|kalyani instagram reel|malayalam trending songs|sheriya song|nera rap song,https://i.ytimg.com/vi/giA1Y3VB3CM/hqdefault.jpg,3167004,62473,1055,PT3M57S,hd,237.0,3.95,0,10,Thursday,3,0,240.63,0.019726,0.000333,13161.3,0.020059,54,13,1,0,0,1,15,0.0,0.75,neutral,Music,1,1
